,0
0,Arkansas
1,Colorado
2,Iowa
3,Massachusetts
4,Minnesota
5,Mississippi
6,Montana
7,Nebraska
8,Nevada
9,New Hampshire
10,New Jersey
11,New Mexico
12,New York
13,North Carolina
14,North Dakota
15,Ohio
16,Oklahoma
17,Oregon
18,Pennsylvania
19,Rhode Island
20,South Carolina
21,South Dakota
22,Tennessee
23,Utah
24,Vermont
25,Virginia
26,Washington
27,West Virginia
28,Wisconsin
29,Wyoming
